"Ano";"Taxa"
"1991";"6,366%"
"1992";"6,42%"
"1993";"6,03%"
"1994";"6,47%"
"1995";"7,09%"
"1996";"8,03%"
"1997";"9%"
"1998";"10,15%"
"1999";"11,13%"
"2000";"10,53%"
"2001";"10,65%"
"2002";"10,64%"
"2003";"11,17%"
"2004";"10,07%"
"2005";"10,55%"
"2006";"9,69%"
"2007";"9,28%"
"2008";"8,27%"
"2009";"9,42%"
"2010";"8,034%"
"2011";"7,58%"
"2012";"6,9%"
"2013";"7,225%"
"2014";"6,9%"
"2015";"8,625%"
"2016";"11,65%"
"2017";"12,85%"
"2018";"12,375%"
"2019";"11,975%"
"2020";"13,775%"
"2021";"13,2%"
"2022";"9,25%"
"2023";"7,975%"
